TEMP(FAHR),58,,
PRESSURE (PSI),Z factor,VISCOSITY (CP),Phase
2060,1,1.145,liquid
2070,1,1.145,liquid
2080,1,1.1449,liquid
2090,1,1.1449,liquid
2100,1,1.1448,liquid
2110,1,1.1448,liquid
2120,1,1.1448,liquid
2130,1,1.1447,liquid
2140,1,1.1447,liquid
2150,1,1.1446,liquid
2160,1,1.1446,liquid
2170,1,1.1446,liquid
2180,1,1.1445,liquid
2190,1,1.1445,liquid
2200,1,1.1444,liquid
2210,1,1.1444,liquid
2220,1,1.1443,liquid
2230,1,1.1443,liquid
2240,1,1.1443,liquid
2250,1,1.1442,liquid
2260,1,1.1442,liquid
2270,1,1.1441,liquid
2280,1,1.1441,liquid
2290,1,1.1441,liquid
2300,1,1.144,liquid
2310,1,1.144,liquid
2320,1,1.1439,liquid
2330,1,1.1439,liquid
2340,1,1.1439,liquid
2350,1,1.1438,liquid
2360,1,1.1438,liquid
2370,1,1.1437,liquid
2380,1,1.1437,liquid
2390,1,1.1437,liquid
2400,1,1.1436,liquid
2410,1,1.1436,liquid
2420,1,1.1435,liquid
2430,1,1.1435,liquid
2440,1,1.1435,liquid
2450,1,1.1434,liquid
2460,1,1.1434,liquid
2470,1,1.1433,liquid
2480,1,1.1433,liquid
2490,1,1.1433,liquid
2500,1,1.1432,liquid
2510,1,1.1432,liquid
2520,1,1.1431,liquid
2530,1,1.1431,liquid
2540,1,1.1431,liquid
2550,1,1.143,liquid
2560,1,1.143,liquid
2570,1,1.1429,liquid
2580,1,1.1429,liquid
2590,1,1.1429,liquid
2600,1,1.1428,liquid
2610,1,1.1428,liquid
2620,1,1.1427,liquid
2630,1,1.1427,liquid
2640,1,1.1427,liquid
2650,1,1.1426,liquid
2660,1,1.1426,liquid
2670,1,1.1425,liquid
2680,1,1.1425,liquid
2690,1,1.1425,liquid
2700,1,1.1424,liquid
2710,1,1.1424,liquid
2720,1,1.1424,liquid
2730,1,1.1423,liquid
2740,1,1.1423,liquid
2750,1,1.1422,liquid
2760,1,1.1422,liquid
2770,1,1.1422,liquid
2780,1,1.1421,liquid
2790,1,1.1421,liquid
2800,1,1.142,liquid
2810,1,1.142,liquid
2820,1,1.142,liquid
2830,1,1.1419,liquid
2840,1,1.1419,liquid
2850,1,1.1419,liquid
2860,1,1.1418,liquid
2870,1,1.1418,liquid
2880,1,1.1417,liquid
2890,1,1.1417,liquid
2900,1,1.1417,liquid
2910,1,1.1416,liquid
2920,1,1.1416,liquid
2930,1,1.1415,liquid
2940,1,1.1415,liquid
2950,1,1.1415,liquid
2960,1,1.1414,liquid
2970,1,1.1414,liquid
2980,1,1.1414,liquid
2990,1,1.1413,liquid
3000,1,1.1413,liquid
3010,1,1.1412,liquid
3020,1,1.1412,liquid
3030,1,1.1412,liquid
3040,1,1.1411,liquid
3050,1,1.1411,liquid
3060,1,1.1411,liquid
3070,1,1.141,liquid
3080,1,1.141,liquid
3090,1,1.1409,liquid
3100,1,1.1409,liquid
3110,1,1.1409,liquid
3120,1,1.1408,liquid
3130,1,1.1408,liquid
3140,1,1.1408,liquid
3150,1,1.1407,liquid
3160,1,1.1407,liquid
3170,1,1.1407,liquid
3180,1,1.1406,liquid
3190,1,1.1406,liquid
3200,1,1.1405,liquid
3210,1,1.1405,liquid
3220,1,1.1405,liquid
3230,1,1.1404,liquid
3240,1,1.1404,liquid
3250,1,1.1404,liquid
3260,1,1.1403,liquid
3270,1,1.1403,liquid
3280,1,1.1402,liquid
3290,1,1.1402,liquid
3300,1,1.1402,liquid
3310,1,1.1401,liquid
3320,1,1.1401,liquid
3330,1,1.1401,liquid
3340,1,1.14,liquid
